"sampleIndex","capturedAtUtc","elapsedSeconds","processCount","treeWorkingSetBytes","treePrivateBytes","pid","parentPid","name","startTimeUtcTicks","processCpuSeconds","processWorkingSetBytes","processPrivateBytes"
"23","2026-09-03T07:48:09.7340942Z","29,5752709","7","412680192","335069184","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117821440","93138944"
"23","2026-09-03T07:48:09.7340942Z","29,5752709","7","412680192","335069184","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37179392","13332480"
"23","2026-09-03T07:48:09.7340942Z","29,5752709","7","412680192","335069184","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113418240","117211136"
"23","2026-09-03T07:48:09.7340942Z","29,5752709","7","412680192","335069184","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20516864","8912896"
"24","2026-09-03T07:48:11.0019767Z","30,870715","7","412680192","335069184","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11907072","3801088"
"24","2026-09-03T07:48:11.0019767Z","30,870715","7","412680192","335069184","7972","17972","narro.exe","639240180863270912","3,0625","34103296","63336448"
"24","2026-09-03T07:48:11.0019767Z","30,870715","7","412680192","335069184","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","77733888","35336192"
"24","2026-09-03T07:48:11.0019767Z","30,870715","7","412680192","335069184","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117821440","93138944"
"24","2026-09-03T07:48:11.0019767Z","30,870715","7","412680192","335069184","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37179392","13332480"
"24","2026-09-03T07:48:11.0019767Z","30,870715","7","412680192","335069184","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113418240","117211136"
"24","2026-09-03T07:48:11.0019767Z","30,870715","7","412680192","335069184","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20516864","8912896"
"25","2026-09-03T07:48:12.2831888Z","32,1366747","7","412680192","335069184","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11907072","3801088"
"25","2026-09-03T07:48:12.2831888Z","32,1366747","7","412680192","335069184","7972","17972","narro.exe","639240180863270912","3,0625","34103296","63336448"
"25","2026-09-03T07:48:12.2831888Z","32,1366747","7","412680192","335069184","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","77733888","35336192"
"25","2026-09-03T07:48:12.2831888Z","32,1366747","7","412680192","335069184","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117821440","93138944"
"25","2026-09-03T07:48:12.2831888Z","32,1366747","7","412680192","335069184","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37179392","13332480"
"25","2026-09-03T07:48:12.2831888Z","32,1366747","7","412680192","335069184","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113418240","117211136"
"25","2026-09-03T07:48:12.2831888Z","32,1366747","7","412680192","335069184","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20516864","8912896"
